LOCATION_ID,CITY,STATE_NAME,STATE,LONGITUDE,LATITUDE
1,Camden,New Jersey,NJ,-75.12338257,39.93738174
2,Philadelphia,Pennsylvania,PA,-75.09488,39.979031
3,Boston,Massachusetts,MA,-71.0389415,42.3481664
4,Miami,Florida,FL,-80.1779964,25.778567
5,Wilmington,North Carolina,NC,-77.9479854,34.196556
6,Baltimore,Maryland,MD,-76.6096734,39.2860811
7,Bayonne,New Jersey,NJ,-74.547283,40.287226
8,Charleston,South Carolina,SC,-79.9257181,32.7808424
9,San Pedro,California,CA,-118.2813644,33.73823547
10,Savannah,Georgia,GA,-81.150809,32.123742
11,New York,New York,NY,-74.0056639,40.6830965
12,Pottsville,Pennsylvania,PA,-76.182344,40.690894
13,Raymond,New Hampshire,NH,-71.1661286,43.0274128
14,Fort Pierce,Florida,FL,-80.3827964,27.4118942
15,Henderson,North Carolina,NC,-78.39128113,36.28921127
16,Smyrna,Delaware,DE,-75.626646,39.2888684
17,Williamsport,Maryland,MD,-77.807916,39.619286
18,Bethlehem,Pennsylvania,PA,-75.3227189,40.6112545
19,Arcadia,Florida,FL,-81.851939,27.239609
20,Mebane,North Carolina,NC,-79.262621,36.102563
21,Pedricktown,New Jersey,NJ,-75.408412,39.733769
22,Winter Haven,Florida,FL,-81.7556018,28.0462827
23,Davenport,Florida,FL,-81.74889,27.995134
24,Brooksville,Florida,FL,-82.2200794,28.5186767
25,Harrison,New Jersey,NJ,-74.161783,40.742177
26,Ridgeville,South Carolina,SC,-80.311951,33.102683
27,Mira Loma,California,CA,-117.558152,34.012427
28,Port Wentworth,Georgia,GA,-81.163168,32.149092
29,Johnsontown,New York,NY,-74.4067541,42.9868881
30,Alachua,Florida,FL,-82.468558,29.760911